name	url
lylyga	https://shopee.vn/lylyga?categoryId=100630&itemId=3768234459
derma_forte	https://shopee.vn/derma_forte?categoryId=100630&itemId=13819484801
luvela.official	https://shopee.vn/luvela.official?categoryId=100630&itemId=8376857129
sevichofficial.vn	https://shopee.vn/sevichofficial.vn?categoryId=100630&itemId=5688328408
khosinailmimiennam	https://shopee.vn/khosinailmimiennam?categoryId=100630&itemId=2776547554
giadunggiasi2017	https://shopee.vn/giadunggiasi2017?categoryId=100630&itemId=3459146710
kolin.vn	https://shopee.vn/kolin.vn?categoryId=100630&itemId=8334129706
perfectdiary.vn	https://shopee.vn/perfectdiary.vn?categoryId=100630&itemId=6953971095
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=2143754098
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=4817421094
magic.beauty	https://shopee.vn/magic.beauty?categoryId=100630&itemId=4853526537
romano_vietnam	https://shopee.vn/romano_vietnam?categoryId=100630&itemId=4424738696
phu_kien_nails_mi	https://shopee.vn/phu_kien_nails_mi?categoryId=100630&itemId=1783659866
roselife.vn	https://shopee.vn/roselife.vn?categoryId=100630&itemId=4460253618
evoluderm.vn	https://shopee.vn/evoluderm.vn?categoryId=100630&itemId=552284274
mat_na_noi_dia_trung_zuzu	https://shopee.vn/mat_na_noi_dia_trung_zuzu?categoryId=100630&itemId=9248045316
bioaqua__official	https://shopee.vn/bioaqua__official?categoryId=100630&itemId=2400089627
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=7919525637
unilevervn_beauty	https://shopee.vn/unilevervn_beauty?categoryId=100630&itemId=2380724100
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=6060722129
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=4668668912
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=5034010360
shopthoitrang7788	https://shopee.vn/shopthoitrang7788?categoryId=100630&itemId=6733636965
dasata.official	https://shopee.vn/dasata.official?categoryId=100630&itemId=4245943318
naturfarm.vn	https://shopee.vn/naturfarm.vn?categoryId=100630&itemId=5227597756
seovnpro	https://shopee.vn/seovnpro?categoryId=100630&itemId=5703006607
unilevervn_beauty	https://shopee.vn/unilevervn_beauty?categoryId=100630&itemId=3837427172
nailaccessories.vn	https://shopee.vn/nailaccessories.vn?categoryId=100630&itemId=11003645633
lolithewolf	https://shopee.vn/lolithewolf?categoryId=100630&itemId=9522810665
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=4543088476
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=7150596358
vesta_officialstore	https://shopee.vn/vesta_officialstore?categoryId=100630&itemId=5760278158
clovershop68	https://shopee.vn/clovershop68?categoryId=100630&itemId=2032326674
chenglovehairs	https://shopee.vn/chenglovehairs?categoryId=100630&itemId=4439777828
myphamnhapkhau568	https://shopee.vn/myphamnhapkhau568?categoryId=100630&itemId=1265776679
giadunggicungre	https://shopee.vn/giadunggicungre?categoryId=100630&itemId=6996110501
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=6476331739
